Model,R² Score,RMSE,MAE,Accuracy (%)
Decision Tree,0.8222792786107258,167.58374642737004,61.58167231236589,48.992140545538604
Random Forest,0.8221279874287898,167.65506211105253,61.585402152326665,49.00138696255201
Gradient Boosting,0.8131978587774424,171.81211594012032,69.91971102855146,41.31761442441054
K-Nearest Neighbors,0.8017471792659739,176.9997076153492,62.94261340768885,48.890429958391124
Linear Regression,0.7686851928893083,191.18973815500246,94.24332763336547,19.787332408691633
Ridge Regression,0.7686851719606296,191.1897468041429,94.24410253014446,19.796578825705037
Lasso Regression,0.768679250139093,191.1921940841631,94.24358888080567,19.778085991678225
